Location_Name,Lat,Lon,,,,,,,,,
Pine Flat Dam,36.832328,-119.325407,,,,,,,,,
New Bullards Bar and FIRO ,39.39433427,-121.1390703,,,,,,,,,
Moffit Army Airfield,37.409058,-122.05066,,,,,,,,,
San Gabriel River,33.752916,-118.10498,,,,,,,,,
Santa Ana River,33.922708,-117.598171,,,,,,,,,
Santa Clara River,34.245528,-119.185889,,,,,,,,,
PL 84_99,36.15718519,-109.548659,,,,,,,,,
Marin City,37.43925164,-122.1802259,,,,,,,,,
LA River,34.01454589,-118.2223845,,,,,,,,,
Salinas Dam,35.337685,-120.495139,,,,,,,,,
John Martin Dam,38.06691929,-102.9450108,,,,,,,,,
Lake Mendocino,39.21843647,-123.1733889,,,,,,,,,
Alamo Dam,34.23964163,-113.5927946,,,,,,,,,
Guadalupe River,37.3738296,-121.9330129,,,,,,,,,
Painted Rock Dam,33.07389205,-113.0120769,,,,,,,,,
Twitchell Dam,34.98679312,-120.32369,,,,,,,,,
Mojave River Dam,34.34355774,-117.234188,,,,,,,,,
Prado Dam,33.88981862,-117.6413016,,,,,,,,,
Whittier Narrows Dam,34.02019872,-118.0828568,,,,,,,,,
Sepulveda Dam,34.16779433,-118.4723597,,,,,,,,,
